,apply,species,genus
258,"['MYCSD_F5Z1Q7' 'LEIXX_Q6AE54' 'MICLC_C5CA40' 'RARFA_A0A542ZW93'
 'CLAMS_B0RI47' 'CELCE_A0A1X7EHU4' 'RENSM_A9WRF0' 'ARTGO_H0QM97'
 'BRELN_A0A0B9APZ9' 'CELGA_F7ZZ92' 'CORA7_C3PHG9' 'GLUAR_E1VXF1'
 'PROFC_D7GEU8' 'MYCPA_Q73YP8' 'NOCAS_U5EDF8' 'KRIFD_D2Q0E5'
 'RHOHA_E9T6J8' 'NOCSJ_A1SL93' 'FRACC_Q2JD63' 'XYLCX_D1C0B3'
 'MYCHD_K5BFP0' 'STRAD_A0A5J6HBU9' 'ACIA4_K7RMA5' 'TROWT_Q83GN8'
 'NOCSI_A0A0A1DWN8' 'MOBCV_D6ZGY3' 'GORB4_D0LAU1' 'TSUPD_D5USI5'
 'KITGR_A0A0D0N143' 'ISOV2_F6FSH9' 'ACIC1_A0LTL0' 'ARCHD_D7BN99'
 'STANL_D3Q9L6' 'SEGRD_D6ZF26' 'MICPN_F5XRU1' 'ROTMD_D2NU68'
 'MICTS_E8N856' 'KINRD_A6WCY7' 'BLASD_H6RTQ3' 'CATAD_C7QBJ2'
 'BRAFD_C7MBE6' 'JONDD_C7R3I4' 'INTC7_E6SBV4' 'ACIFD_C7LY26'
 'KOCRD_B2GJQ8' 'SANKS_D1BIM8' 'ILUCY_A0A6C7E2F1' 'HOYSD_F6EFF5'
 'BEUC1_C5BW72']","['MYCSD', 'LEIXX', 'MICLC', 'RARFA', 'CLAMS', 'CELCE', 'RENSM', 'ARTGO', 'BRELN', 'CELGA', 'CORA7', 'GLUAR', 'PROFC', 'MYCPA', 'NOCAS', 'KRIFD', 'RHOHA', 'NOCSJ', 'FRACC', 'XYLCX', 'MYCHD', 'STRAD', 'ACIA4', 'TROWT', 'NOCSI', 'MOBCV', 'GORB4', 'TSUPD', 'KITGR', 'ISOV2', 'ACIC1', 'ARCHD', 'STANL', 'SEGRD', 'MICPN', 'ROTMD', 'MICTS', 'KINRD', 'BLASD', 'CATAD', 'BRAFD', 'JONDD', 'INTC7', 'ACIFD', 'KOCRD', 'SANKS', 'ILUCY', 'HOYSD', 'BEUC1']","['1073531', '110932', '1269', '13242', '1573', '157920', '1645', '1663', '1696', '1707', '1716', '1742989', '1743', '1763', '1817', '182639', '1827', '1839', '1854', '186188', '1866885', '1883', '1912215', '2038', '2044', '2050', '2053', '2060', '2063', '254250', '28048', '28263', '283810', '286801', '29404', '32207', '33882', '33981', '38501', '414878', '43668', '43673', '53357', '53634', '57493', '60919', '682522', '697025', '84756']"
259,"['OLSUV_E1QY12' 'CLAMS_B0RAZ5' 'ARTGL_A0A2S3ZVU9' 'SALTO_A4X7V3'
 'BRELN_A0A0B9ANR4' 'CELGA_F8A6D6' 'MYCKA_X7XY85' 'NOCAS_U5EL74'
 'RHOHA_E9SY26' 'SACSN_A0A2N3XRZ0' 'NOCSJ_A1SCD9' 'SACVD_C7MS91'
 'MYCAG_A0A2A7N7A0' 'MICS3_C4RDW8' 'STREK_G2NJF2' 'THECD_D1A210'
 'GORPV_H6MWT8' 'KITGR_A0A0D0PRC4' 'STRJI_A0A1H7M7H1' 'STANL_D3QAW5'
 'CORGP_F2NAR7' 'NAKMY_C8X7W6' 'SLAES_D0WF14' 'EEGSY_F7UV49'
 'CRYCD_C7MMX4']","['OLSUV', 'CLAMS', 'ARTGL', 'SALTO', 'BRELN', 'CELGA', 'MYCKA', 'NOCAS', 'RHOHA', 'SACSN', 'NOCSJ', 'SACVD', 'MYCAG', 'MICS3', 'STREK', 'THECD', 'GORPV', 'KITGR', 'STRJI', 'STANL', 'CORGP', 'NAKMY', 'SLAES', 'EEGSY', 'CRYCD']","['133925', '1573', '1663', '168694', '1696', '1707', '1763', '1817', '1827', '1835', '1839', '1851', '1866885', '1873', '1883', '2019', '2053', '2063', '228398', '283810', '33870', '53460', '84108', '84111', '84162']"
260,"['LEIAQ_U2RDD3' 'THEBD_D6Y5L9' 'CLAMS_B0RI07' 'ARTS2_A0JSE1'
 'GLUAR_E1VVM6' 'PAEAT_A1R2L9' 'PSEPM_F0MAX3' 'MYCUL_X8FKV9' 'NOCFA_Y4868'
 'RHOJR_Q0SG65' 'ACTS5_G8SJR5' 'MYCCI_A0A448I4F6' 'STRCL_E2PZF8'
 'NOCAA_J7LD22' 'SEGRD_D6ZEF3' 'MICTS_E8NAP0' 'ILUCY_A0A6C7EDQ5']","['LEIAQ', 'THEBD', 'CLAMS', 'ARTS2', 'GLUAR', 'PAEAT', 'PSEPM', 'MYCUL', 'NOCFA', 'RHOJR', 'ACTS5', 'MYCCI', 'STRCL', 'NOCAA', 'SEGRD', 'MICTS', 'ILUCY']","['110932', '147067', '1573', '1663', '1742989', '1742992', '1742993', '1763', '1817', '1827', '1865', '1866885', '1883', '2013', '286801', '33882', '682522']"
261,"['THEBD_D6Y2K8' 'CELCE_A0A1X7DTP9' 'NOCFA_Q5YX82' 'SACSN_A0A2N3Y675'
 'PSETH_A0A1M6Q641' 'ACTS5_G8S0W9' 'MYCVN_A0A5S9R4G8' 'MICOL_A0A562ICZ4'
 'STRNE_A0A445NJE2' 'ACIA4_K7S0N6' 'STRRD_D2AX65' 'KIBAR_A0A1Y5Y797'
 'GORPV_H6N0C6' 'KITAU_A0A1E7N419' 'SACSY_A0A5Q0HD55' 'MICTS_E8NDS7'
 'KINRD_A6WFJ4' 'BLASD_H6RTM8' 'RUBXD_Q1AWW1' 'INTC7_E6S8M0'
 'BEUC1_C5BVC1']","['THEBD', 'CELCE', 'NOCFA', 'SACSN', 'PSETH', 'ACTS5', 'MYCVN', 'MICOL', 'STRNE', 'ACIA4', 'STRRD', 'KIBAR', 'GORPV', 'KITAU', 'SACSY', 'MICTS', 'KINRD', 'BLASD', 'RUBXD', 'INTC7', 'BEUC1']","['147067', '157920', '1817', '1835', '1847', '1865', '1866885', '1873', '1883', '1912215', '2000', '2029', '2053', '2063', '2071', '33882', '33981', '38501', '42255', '53357', '84756']"
262,"['LEIAQ_U2R5E3' 'CELCE_A0A1X7EKZ1' 'ARTS2_A0JT91' 'BRELN_A0A0B9AXF5'
 'CELFN_D5UC20' 'PAEAT_A1R3P6' 'PSEPM_F0M2D5' 'MYCSK_A1UB52'
 'NOCCG_H6R6Z8' 'NOCSJ_A1SC19' 'FRACC_Q2J945' 'ACTUT_A0A0A6UFE1'
 'MYCHD_K5B8B4' 'MICAI_D9T140' 'STRJU_A0A646KTU4' 'SCAIO_W5IIU2'
 'STRHI_A0A1M5ICI0' 'MOBCV_D6ZG33' 'SACSY_A0A5Q0H024' 'ISOV2_F6FRE5'
 'CATAD_C7Q3M6' 'BRAFD_C7MHK3' 'KOCRD_B2GJY9']","['LEIAQ', 'CELCE', 'ARTS2', 'BRELN', 'CELFN', 'PAEAT', 'PSEPM', 'MYCSK', 'NOCCG', 'NOCSJ', 'FRACC', 'ACTUT', 'MYCHD', 'MICAI', 'STRJU', 'SCAIO', 'STRHI', 'MOBCV', 'SACSY', 'ISOV2', 'CATAD', 'BRAFD', 'KOCRD']","['110932', '157920', '1663', '1696', '1707', '1742992', '1742993', '1763', '1817', '1839', '1854', '1865', '1866885', '1873', '1883', '196081', '2016', '2050', '2071', '254250', '414878', '43668', '57493']"
263,"['MICLC_C5C9S5' 'THEBD_D6Y7U6' 'CELCE_A0A1X7EEI5' 'RENSM_A9WR15'
 'ARTGO_H0QT27' 'SALTO_A4X4M0' 'BRELN_A0A0B9A951' 'CELGA_F7ZZU3'
 'GLUAR_E1VUB6' 'PSEPM_F0M7B2' 'PROFC_D7GEK8' 'KRIFD_D2Q1V1'
 'SACEN_A4FM96' 'NOCSJ_A1SLL5' 'FRACC_Q2J718' 'GEOOG_D2SDX3'
 'XYLCX_D1C045' 'ACTUT_A0A0A6UFR8' 'MICAI_D9SXP7' 'STRRC_V6KR16'
 'CUTAK_Q6A7L3' 'STRRD_D2AW02' 'NOCAA_J7L3K5' 'THECD_D1AAJ3'
 'NOCSI_A0A0A1DNY5' 'KITAU_A0A1E7N038' 'STRJI_A0A1H7ZSZ5' 'ISOV2_F6FRY0'
 'ACIC1_A0LV33' 'ARCHD_D7BN45' 'MICPN_F5XR82' 'KINRD_A6W7X9'
 'BLASD_H6RVV8' 'CATAD_C7QDZ5' 'BRAFD_C7MB98' 'JONDD_C7R3D4'
 'INTC7_E6SEA1' 'KOCRD_B2GKS2' 'SANKS_D1BJ72' 'THEFY_Q47RX8'
 'BEUC1_C5BWT1']","['MICLC', 'THEBD', 'CELCE', 'RENSM', 'ARTGO', 'SALTO', 'BRELN', 'CELGA', 'GLUAR', 'PSEPM', 'PROFC', 'KRIFD', 'SACEN', 'NOCSJ', 'FRACC', 'GEOOG', 'XYLCX', 'ACTUT', 'MICAI', 'STRRC', 'CUTAK', 'STRRD', 'NOCAA', 'THECD', 'NOCSI', 'KITAU', 'STRJI', 'ISOV2', 'ACIC1', 'ARCHD', 'MICPN', 'KINRD', 'BLASD', 'CATAD', 'BRAFD', 'JONDD', 'INTC7', 'KOCRD', 'SANKS', 'THEFY', 'BEUC1']","['1269', '147067', '157920', '1645', '1663', '168694', '1696', '1707', '1742989', '1742993', '1743', '182639', '1835', '1839', '1854', '1860', '186188', '1865', '1873', '1883', '1912216', '2000', '2013', '2019', '2044', '2063', '228398', '254250', '28048', '28263', '29404', '33981', '38501', '414878', '43668', '43673', '53357', '57493', '60919', '83677', '84756']"
264,"['LENAE_A0A0F0GX95' 'ARTGL_A0A2S4A073' 'SALTO_A4X879' 'GLUAR_E1VVE5'
 'AMYMS_G0FI07' 'NOCAS_U5EIX1' 'RHOJR_Q0SGJ9' 'GEOOG_D2SGS6'
 'MYCS2_A0R4R8' 'MICM1_F4F5Z0' 'STRR3_A0A0F2TKN9' 'KIBAR_A0A1W2E6C2'
 'GORB4_D0L3N8' 'TSUPD_D5UXU2' 'KITGR_A0A0D0PJU0' 'STANL_D3PVD4'
 'MICPN_F5XFD4' 'BLASD_H6RKN1' 'NAKMY_C8XKL4' 'ILUCY_A0A6C7ED27'
 'THEFY_Q47Q96']","['LENAE', 'ARTGL', 'SALTO', 'GLUAR', 'AMYMS', 'NOCAS', 'RHOJR', 'GEOOG', 'MYCS2', 'MICM1', 'STRR3', 'KIBAR', 'GORB4', 'TSUPD', 'KITGR', 'STANL', 'MICPN', 'BLASD', 'NAKMY', 'ILUCY', 'THEFY']","['165301', '1663', '168694', '1742989', '1813', '1817', '1827', '1860', '1866885', '1873', '1883', '2029', '2053', '2060', '2063', '283810', '29404', '38501', '53460', '682522', '83677']"
265,"['LEIXX_Q6AE20' 'MICLC_C5CB32' 'RARFA_A0A542ZUH7' 'THEBD_D6YBQ8'
 'CLAMS_B0RHJ8' 'CELCE_A0A1X7EMN2' 'RENSM_A9WPI2' 'LENAE_A0A0F0H539'
 'ARTS2_A0JYM1' 'BIFLO_Q8G5P7' 'BRELN_A0A0B9A1M0' 'CELGA_F8A316'
 'CORU7_B1VF32' 'PAEAT_A1RA79' 'PROFC_D7GID7' 'MYCSK_A1UIW1'
 'AMYME_A0A076MMZ2' 'NOCAS_U5EA24' 'RHOHA_E9SY84' 'SACSN_A0A2N3XUD9'
 'PSEAH_A0A1Y2MTI0' 'SACVD_C7MYD3' 'GEOOG_D2S7I1' 'ACTUT_A0A0A6UJD8'
 'MYCT3_G7CBF8' 'MICOL_A0A562I2Z2' 'STRTO_A0A081XTW0' 'ACIA4_K7S6K5'
 'CUTAK_Q6A6X7' 'CONWI_D3F635' 'SCAIO_W5IIC1' 'PARDN_E6K0N9'
 'STRHI_A0A1M5KVM9' 'KIBAR_A0A1W2FK03' 'MOBCV_D6ZJL8' 'TSUPD_D5UYG5'
 'KITGR_A0A0D0NG90' 'SACES_K0JQR5' 'STRJI_A0A1H7XIE6' 'ISOV2_F6FUK8'
 'GARVA_I4M828' 'ARCHD_D7BP79' 'STANL_D3PYA2' 'ROTMD_D2NQY1'
 'CORGP_F2N765' 'MICTS_E8NAI2' 'KINRD_A6WE75' 'BLASD_H6RKN3'
 'ACTMD_C6WJH9' 'BRAFD_C7MGM8' 'JONDD_C7QZS0' 'NAKMY_C8XJR3'
 'KOCRD_B2GKS6' 'SANKS_D1BKF3' 'ILUCY_A0A6C7EJZ6' 'THEFY_Q47RE6'
 'CRYCD_C7MNN8']","['LEIXX', 'MICLC', 'RARFA', 'THEBD', 'CLAMS', 'CELCE', 'RENSM', 'LENAE', 'ARTS2', 'BIFLO', 'BRELN', 'CELGA', 'CORU7', 'PAEAT', 'PROFC', 'MYCSK', 'AMYME', 'NOCAS', 'RHOHA', 'SACSN', 'PSEAH', 'SACVD', 'GEOOG', 'ACTUT', 'MYCT3', 'MICOL', 'STRTO', 'ACIA4', 'CUTAK', 'CONWI', 'SCAIO', 'PARDN', 'STRHI', 'KIBAR', 'MOBCV', 'TSUPD', 'KITGR', 'SACES', 'STRJI', 'ISOV2', 'GARVA', 'ARCHD', 'STANL', 'ROTMD', 'CORGP', 'MICTS', 'KINRD', 'BLASD', 'ACTMD', 'BRAFD', 'JONDD', 'NAKMY', 'KOCRD', 'SANKS', 'ILUCY', 'THEFY', 'CRYCD']","['110932', '1269', '13242', '147067', '1573', '157920', '1645', '165301', '1663', '1678', '1696', '1707', '1716', '1742992', '1743', '1763', '1813', '1817', '1827', '1835', '1847', '1851', '1860', '1865', '1866885', '1873', '1883', '1912215', '1912216', '191494', '196081', '196082', '2016', '2029', '2050', '2060', '2063', '2071', '228398', '254250', '2701', '28263', '283810', '32207', '33870', '33882', '33981', '38501', '40566', '43668', '43673', '53460', '57493', '60919', '682522', '83677', '84162']"
266,"['MYCSD_F5YVS4' 'LEIXX_Q6ABW6' 'MICLC_C5C7V9' 'RARFA_A0A542ZPD7'
 'THEBD_D6YAK6' 'CLAMS_B0RDN9' 'CELCE_A0A1X7EZ83' 'RENSM_A9WVN3'
 'LENAE_A0A0F0GVC9' 'ARTS2_A0K2L2' 'BIFBI_I3WKK7' 'SALTO_A4XDI6'
 'BRELN_A0A0B8ZXJ3' 'CELFA_F4H5H5' 'CORRG_F8E3J5' 'GLUAR_E1W157'
 'PAEAT_A1RC98' 'PSEPM_F0MA67' 'PROFC_D7GHA9' 'MYCAS_A0A1A3MQW6'
 'AMYME_A0A076N775' 'NOCCG_H6RAT8' 'KRIFD_D2Q533' 'RHOOP_W8HAU8'
 'SACSN_A0A2N3XRZ8' 'NOCSJ_A1SQU1' 'PSETH_A0A1M6VHN4' 'SACVD_C7MS45'
 'FRAAA_Q0RAQ5' 'GEOOG_D2S826' 'XYLCX_D1BRU5' 'ACTS5_G8SH20'
 'MYCFA_A0A1X1RJA1' 'MICEC_A0A1C4W9I6' 'STRLT_A0A3S9PJM6' 'ACIA4_K7RSQ6'
 'CUTAK_Q6A5F6' 'CONWI_D3F335' 'THEAL_A0A1H6FTQ7' 'SCAIO_W5IHZ7'
 'PARDN_E6JYH1' 'STRRD_D2BEF0' 'NOCDD_D7B138' 'STRHI_A0A1M4V1N9'
 'THECD_D1A953' 'KIBAR_A0A1Y5XIA2' 'TROWT_Q83FE3' 'NOCSI_A0A0A1DXP4'
 'MOBCV_D6ZJX7' 'GORB4_D0L9A8' 'TSUPD_D5UP82' 'KITGR_A0A0D0PUI4'
 'SACSY_A0A5Q0HFF3' 'STRJI_A0A1H7JBS7' 'ISOV2_F6FWP2' 'GARVA_I4MB21'
 'ACIC1_A0LWV1' 'ARCHD_D7BLF4' 'STANL_D3Q5J2' 'SEGRD_D6Z9H3'
 'MICPN_F5XIU2' 'ROTMD_D2NQ91' 'MICTS_E8N952' 'KINRD_A6WGL4'
 'BLASD_H6RW02' 'ACTMD_C6WSJ9' 'CATAD_C7Q5N8' 'RUBXD_Q1ASB2'
 'BRAFD_C7MBJ0' 'JONDD_C7R3M9' 'INTC7_E6S7E1' 'NAKMY_C8XE76'
 'ACIFD_C7M1E9' 'KOCRD_B2GJE2' 'SANKS_D1BGF5' 'ILUCY_A0A6C7EHZ6'
 'HOYSD_F6EPF1' 'THEFY_Q47K87' 'SLAES_D0WF17' 'CRYCD_C7MMX1'
 'BEUC1_C5C6M1']","['MYCSD', 'LEIXX', 'MICLC', 'RARFA', 'THEBD', 'CLAMS', 'CELCE', 'RENSM', 'LENAE', 'ARTS2', 'BIFBI', 'SALTO', 'BRELN', 'CELFA', 'CORRG', 'GLUAR', 'PAEAT', 'PSEPM', 'PROFC', 'MYCAS', 'AMYME', 'NOCCG', 'KRIFD', 'RHOOP', 'SACSN', 'NOCSJ', 'PSETH', 'SACVD', 'FRAAA', 'GEOOG', 'XYLCX', 'ACTS5', 'MYCFA', 'MICEC', 'STRLT', 'ACIA4', 'CUTAK', 'CONWI', 'THEAL', 'SCAIO', 'PARDN', 'STRRD', 'NOCDD', 'STRHI', 'THECD', 'KIBAR', 'TROWT', 'NOCSI', 'MOBCV', 'GORB4', 'TSUPD', 'KITGR', 'SACSY', 'STRJI', 'ISOV2', 'GARVA', 'ACIC1', 'ARCHD', 'STANL', 'SEGRD', 'MICPN', 'ROTMD', 'MICTS', 'KINRD', 'BLASD', 'ACTMD', 'CATAD', 'RUBXD', 'BRAFD', 'JONDD', 'INTC7', 'NAKMY', 'ACIFD', 'KOCRD', 'SANKS', 'ILUCY', 'HOYSD', 'THEFY', 'SLAES', 'CRYCD', 'BEUC1']","['1073531', '110932', '1269', '13242', '147067', '1573', '157920', '1645', '165301', '1663', '1678', '168694', '1696', '1707', '1716', '1742989', '1742992', '1742993', '1743', '1763', '1813', '1817', '182639', '1827', '1835', '1839', '1847', '1851', '1854', '1860', '186188', '1865', '1866885', '1873', '1883', '1912215', '1912216', '191494', '192992', '196081', '196082', '2000', '2013', '2016', '2019', '2029', '2038', '2044', '2050', '2053', '2060', '2063', '2071', '228398', '254250', '2701', '28048', '28263', '283810', '286801', '29404', '32207', '33882', '33981', '38501', '40566', '414878', '42255', '43668', '43673', '53357', '53460', '53634', '57493', '60919', '682522', '697025', '83677', '84108', '84162', '84756']"
267,"['THEBD_D6Y3V7' 'CORST_A0A376GPZ9' 'GLUAR_E1VXH7' 'PROFC_D7GIJ0'
 'MYCAS_A0A1A3MP42' 'AMYMS_G0G2Z5' 'RHOJR_Q0S2Q9' 'XYLCX_D1BSH2'
 'ACTM4_I0HEV6' 'MYCVN_A0A5S9R404' 'MICAI_D9T1F3' 'STREN_F8JVZ4'
 'CUTAC_W4U9P2' 'SCAIO_W5IJC4' 'PARDN_E6K1F3' 'STRRD_D2AYE3'
 'ACIC1_A0LS66' 'ACTMD_C6WP79' 'BRAFD_C7MAK2' 'JONDD_C7QYH8']","['THEBD', 'CORST', 'GLUAR', 'PROFC', 'MYCAS', 'AMYMS', 'RHOJR', 'XYLCX', 'ACTM4', 'MYCVN', 'MICAI', 'STREN', 'CUTAC', 'SCAIO', 'PARDN', 'STRRD', 'ACIC1', 'ACTMD', 'BRAFD', 'JONDD']","['147067', '1716', '1742989', '1743', '1763', '1813', '1827', '186188', '1865', '1866885', '1873', '1883', '1912216', '196081', '196082', '2000', '28048', '40566', '43668', '43673']"
268,"['LEIXX_Q6ADM4' 'MICLC_C5CB29' 'RARFA_A0A542ZX38' 'CLAMS_B0RGP8'
 'CELCE_A0A1X7CFJ1' 'RENSM_A9WVH2' 'ARTS2_A0JXG4' 'BIFA0_B8DVW1'
 'SALTO_A4XD08' 'BRELN_A0A0B9ASK9' 'CELGA_F8A5X7' 'CORGL_Q79VD6'
 'PAEAT_A1R763' 'PSEPM_F0M372' 'MYCMM_B2HHG5' 'NOCCG_H6R877'
 'PSEUX_F4CXK2' 'XYLCX_D1BWA6' 'ACTM4_I0H238' 'MYCHD_K5BH12'
 'MICOL_A0A562I936' 'STRR3_A0A0F2TCH7' 'CUTAK_Q6A5Y4' 'STRRD_D2AYL0'
 'STRHI_A0A1M4Y6V8' 'TROWT_Q83FN4' 'NOCSI_A0A0A1DXN9' 'MOBCV_D6ZJM9'
 'TSUPD_D5UU45' 'KITAU_A0A1E7N5S8' 'SACES_K0K5P8' 'STRJI_A0A1H7G3L0'
 'ISOV2_F6FR51' 'GARVA_I4MBD1' 'ACIC1_A0LVN7' 'ARCHD_D7BLT3'
 'STANL_D3PWX2' 'SEGRD_D6ZFN2' 'MICPN_F5XMC1' 'ROTMD_D2NSX4'
 'MICTS_E8N9X6' 'KINRD_A6W655' 'CATAD_C7QFY4' 'JONDD_C7QZ96'
 'KOCRD_B2GJ45' 'SANKS_D1BCX2' 'ILUCY_A0A6C7E5J0' 'HOYSD_F6ES85'
 'THEFY_Q47KI7' 'EGGLE_C8WK90' 'BEUC1_C5BUZ0']","['LEIXX', 'MICLC', 'RARFA', 'CLAMS', 'CELCE', 'RENSM', 'ARTS2', 'BIFA0', 'SALTO', 'BRELN', 'CELGA', 'CORGL', 'PAEAT', 'PSEPM', 'MYCMM', 'NOCCG', 'PSEUX', 'XYLCX', 'ACTM4', 'MYCHD', 'MICOL', 'STRR3', 'CUTAK', 'STRRD', 'STRHI', 'TROWT', 'NOCSI', 'MOBCV', 'TSUPD', 'KITAU', 'SACES', 'STRJI', 'ISOV2', 'GARVA', 'ACIC1', 'ARCHD', 'STANL', 'SEGRD', 'MICPN', 'ROTMD', 'MICTS', 'KINRD', 'CATAD', 'JONDD', 'KOCRD', 'SANKS', 'ILUCY', 'HOYSD', 'THEFY', 'EGGLE', 'BEUC1']","['110932', '1269', '13242', '1573', '157920', '1645', '1663', '1678', '168694', '1696', '1707', '1716', '1742992', '1742993', '1763', '1817', '1847', '186188', '1865', '1866885', '1873', '1883', '1912216', '2000', '2016', '2038', '2044', '2050', '2060', '2063', '2071', '228398', '254250', '2701', '28048', '28263', '283810', '286801', '29404', '32207', '33882', '33981', '414878', '43673', '57493', '60919', '682522', '697025', '83677', '84111', '84756']"
269,"['MYCLE_Q9CBA3' 'NOCCG_H6R3U4' 'RHOOP_W8GZ41' 'SACSN_A0A2N3Y880'
 'ACTM4_I0H5N5' 'MYCFO_A0A0N9Y5Q2' 'MICS3_C4RMM8' 'STRGA_A0A089XGR3'
 'THECD_D1A4Y5' 'KITAU_A0A1E7MV20' 'SACSY_A0A5Q0GUK9' 'MICPN_F5XJB5'
 'ACTMD_C6WRG9' 'NAKMY_C8XCL7' 'ILUCY_A0A6C7E4J5']","['MYCLE', 'NOCCG', 'RHOOP', 'SACSN', 'ACTM4', 'MYCFO', 'MICS3', 'STRGA', 'THECD', 'KITAU', 'SACSY', 'MICPN', 'ACTMD', 'NAKMY', 'ILUCY']","['1763', '1817', '1827', '1835', '1865', '1866885', '1873', '1883', '2019', '2063', '2071', '29404', '40566', '53460', '682522']"
270,"['MYCSD_F5YVF8' 'LEIXX_RUVA' 'MICLC_RUVA' 'RARFA_A0A542ZV28'
 'OLSUV_E1QZK4' 'THEBD_D6Y2C7' 'CLAMS_RUVA' 'CELCE_A0A1X7CQ21'
 'LENAE_A0A0F0GNG5' 'ARTGL_A0A2S3ZXK0' 'BIFLO_RUVA' 'SALTO_RUVA'
 'BRELN_A0A0B9ACT1' 'CELFA_F4H0B3' 'CORP2_D9QAS2' 'GLUAR_E1VWF9'
 'PAEAT_A1R725' 'PSEPM_F0M2I1' 'PROFC_D7GDT2' 'MYCXE_I0RXB7'
 'AMYME_A0A076MVZ7' 'NOCCG_H6R264' 'KRIFD_D2PVF6' 'RHOSX_A0A0D8HXG2'
 'SACEN_RUVA' 'NOCSJ_RUVA' 'PSEAH_A0A1Y2N3I1' 'SACVD_C7MQZ6'
 'FRAAA_Q0RNU7' 'GEOOG_D2S9I3' 'XYLCX_D1BSJ8' 'ACTS5_G8S4D5'
 'MYCFA_A0A1X1RGF3' 'MICEC_A0A1C5A853' 'STRLU_A0A160NVN1' 'ACIA4_K7S4R5'
 'CUTAK_RUVA' 'CONWI_D3FDY3' 'STRRD_D2AWR5' 'NOCDD_D7AZJ0'
 'STRHI_A0A1M5HAR9' 'THECD_D1AEV1' 'KIBAR_A0A1W2FIM9' 'TROWT_RUVA'
 'NOCSI_A0A0A1DMC2' 'MOBCV_D6ZHF7' 'GORPV_H6N0M6' 'TSUPD_D5UN51'
 'KITAU_A0A1E7NE31' 'SACES_K0JZQ2' 'STRJI_A0A1H7ZI64' 'ISOV2_F6FVH9'
 'GARVA_I4M7Y8' 'ACIC1_RUVA' 'ARCHD_D7BNP9' 'STANL_D3PYQ0' 'SEGRD_D6Z7I2'
 'MICPN_F5XJF4' 'ROTMD_D2NT04' 'CORGP_F2N884' 'MICTS_E8NFI6'
 'KINRD_A6WCH9' 'BLASD_H6RUR1' 'ACTMD_C6WCM3' 'CATAD_C7QJP8' 'RUBXD_RUVA'
 'BRAFD_C7MCB9' 'JONDD_C7R4G8' 'INTC7_E6SB80' 'NAKMY_C8XE20' 'KOCRD_RUVA'
 'SANKS_D1BGV9' 'ILUCY_A0A6C7E740' 'HOYSD_F6ELL4' 'THEFY_RUVA'
 'BEUC1_RUVA']","['MYCSD', 'LEIXX', 'MICLC', 'RARFA', 'OLSUV', 'THEBD', 'CLAMS', 'CELCE', 'LENAE', 'ARTGL', 'BIFLO', 'SALTO', 'BRELN', 'CELFA', 'CORP2', 'GLUAR', 'PAEAT', 'PSEPM', 'PROFC', 'MYCXE', 'AMYME', 'NOCCG', 'KRIFD', 'RHOSX', 'SACEN', 'NOCSJ', 'PSEAH', 'SACVD', 'FRAAA', 'GEOOG', 'XYLCX', 'ACTS5', 'MYCFA', 'MICEC', 'STRLU', 'ACIA4', 'CUTAK', 'CONWI', 'STRRD', 'NOCDD', 'STRHI', 'THECD', 'KIBAR', 'TROWT', 'NOCSI', 'MOBCV', 'GORPV', 'TSUPD', 'KITAU', 'SACES', 'STRJI', 'ISOV2', 'GARVA', 'ACIC1', 'ARCHD', 'STANL', 'SEGRD', 'MICPN', 'ROTMD', 'CORGP', 'MICTS', 'KINRD', 'BLASD', 'ACTMD', 'CATAD', 'RUBXD', 'BRAFD', 'JONDD', 'INTC7', 'NAKMY', 'KOCRD', 'SANKS', 'ILUCY', 'HOYSD', 'THEFY', 'BEUC1']","['1073531', '110932', '1269', '13242', '133925', '147067', '1573', '157920', '165301', '1663', '1678', '168694', '1696', '1707', '1716', '1742989', '1742992', '1742993', '1743', '1763', '1813', '1817', '182639', '1827', '1835', '1839', '1847', '1851', '1854', '1860', '186188', '1865', '1866885', '1873', '1883', '1912215', '1912216', '191494', '2000', '2013', '2016', '2019', '2029', '2038', '2044', '2050', '2053', '2060', '2063', '2071', '228398', '254250', '2701', '28048', '28263', '283810', '286801', '29404', '32207', '33870', '33882', '33981', '38501', '40566', '414878', '42255', '43668', '43673', '53357', '53460', '57493', '60919', '682522', '697025', '83677', '84756']"
